gene,lfc,KO,annot,baseMean,log2FoldChange,lfcSE,pvalue,padj
Acropora_000100,-0.8015384789464508,K22653,NA,2232.660567346916,-0.8015384789464508,0.2707034952615472,5.580282701917136e-4,0.02001950555483628
Acropora_000227,4.373569367210968,K23589,endopeptidase inhibitor activity,15.519740418195012,4.373569367210968,2.5251775443749125,3.267221887051478e-4,0.01325814345399206
Acropora_000264,-2.390138111179421,K01183,Belongs to the glycosyl hydrolase 18 family,877.555669649268,-2.390138111179421,0.3649497024029637,3.960589515797041e-13,9.125198244396383e-10
Acropora_000355,1.1637894911527313,K14216,NA,294.3413553026384,1.1637894911527311,0.3507657008025253,1.7357910868503435e-4,0.00782464434281059
Acropora_000447,2.1045097551387397,K15183,snRNA transcription by RNA polymerase III,651.2756746657843,2.1045097551387397,0.4929246514543665,5.208036084087994e-7,3.985012407367109e-5
Acropora_000574,0.10700736031042714,K19907,calcium ion-regulated exocytosis of neurotransmitter,30.368185979110304,0.10700736031042714,0.4525182512364539,5.278825525487872e-6,3.5196696494056755e-4
Acropora_000806,0.9496510360832818,K03283,protein refolding,6544.755040001652,0.9496510360832818,0.20157532290818073,4.0015479636583435e-7,3.5634079630447816e-5
Acropora_000839,-2.128573589644363,K00544,betaine-homocysteine S-methyltransferase activity,548.5617797648299,-2.128573589644363,0.41495751055055075,1.1857946938478524e-8,5.231625270559377e-6
Acropora_001296,-1.108490158893911,K17293,cell surface receptor signaling pathway,4505.337886922816,-1.108490158893911,0.25131610196058385,1.1377999138929431e-6,8.486841372116573e-5
Acropora_001319,0.11575026941444103,K01076,Alpha beta hydrolase domain-containing protein,35.30828690271932,0.11575026941444104,0.45020495320956305,0.00143657706162373,0.03987799457808541
Acropora_001438,0.20799576762401975,K11247,synaptic vesicle uncoating,49.742986638896326,0.20799576762401975,0.49593353643611066,2.317776378809227e-4,0.00995060268964557
Acropora_001660,1.457153861740814,K22754,E3 ubiquitin-protein ligase,108.3178533452256,1.457153861740814,1.5071343994982076,8.080921511588853e-4,0.02618218569754788
Acropora_001766,0.8097572016236854,K15259,TCDD-inducible,141.10123825445126,0.8097572016236854,2.000556663159609,0.00146106665606573,0.04028813587789777
Acropora_001782,2.1870574790391206,K07178,Belongs to the protein kinase superfamily. RIO-type Ser Thr kinase family,45.9241516681037,2.1870574790391206,1.5955385096717305,7.500262064420732e-4,0.0250443533281527
Acropora_001893,4.5211821238053105,K02967,mitochondrial translation,22.96762925499601,4.5211821238053105,2.5081361537692737,9.756497727440312e-6,6.224945750036994e-4
Acropora_001965,-1.1517103673044125,K13250,cotranslational protein targeting to membrane,3065.913705913083,-1.1517103673044125,0.28932245814484997,1.109909349071574e-5,7.03825084475479e-4
Acropora_002056,0.21274926351513584,K17808,DNL zinc finger,38.97989327890576,0.21274926351513584,0.4989661355242821,6.03802829507052e-4,0.02125714002149105
Acropora_002087,-0.7978026876248212,K17286,regulation of acid-sensing ion channel activity,1098.6056661176872,-0.7978026876248212,0.29633622550804084,7.847352996227557e-4,0.02578732192476481
Acropora_002131,1.9624587119744918,K19947,NADPH:sulfur oxidoreductase activity,1124.6230500908237,1.962458711974492,0.3543101909539883,8.526770276276644e-9,3.843719748888533e-6
Acropora_002162,5.711118509176767,K24632,metal ion binding,23.72969107100608,5.711118509176767,2.645723332369993,7.41294091519529e-5,0.0039013894116114
Acropora_002301,1.490096765818592,K23688,NA,604.5588834264139,1.490096765818592,0.5408324304698847,2.766801929060975e-4,0.01158851667281888
Acropora_002363,5.990828627430099,K01403,Belongs to the peptidase M10A family,10.358821137817923,5.990828627430099,2.755998678031978,1.18762619607671e-4,0.00580816434005817
Acropora_002383,-0.9243129813759291,K11188,"Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Can reduce H(2)O(2) and short chain organic, fatty acid, and phospholipid hydroperoxides. Also has phospholipase activity, and can therefore either reduce the oxidized sn-2 fatty acyl grup of phospholipids (peroxidase activity) or hydrolyze the sn-2 ester bond of phospholipids (phospholipase activity). These activities are dependent on binding to phospholipids at acidic pH and to oxidized phospholipds at cytosolic pH. Plays a role in cell protection against oxidative stress by detoxifying peroxides and in phospholipid homeostasis",6302.183281146048,-0.9243129813759292,0.2859750946836662,2.586260912377584e-4,0.01101205467742537
Acropora_002402,2.0076212470350754,K24936,regulation of mitotic cell cycle,146.50660165650137,2.0076212470350754,0.5679625509872079,1.5582255813313286e-5,9.58794233070814e-4
Acropora_002417,7.530391281824865,K01562,"Deiodinase, iodothyronine, type I",11.80310199091951,7.530391281824865,3.6531948272595,4.4026358472589215e-4,0.01686262769971207
Acropora_002539,-0.7230138228108224,K02964,structural constituent of ribosome,7384.132373973536,-0.7230138228108224,0.2591051772794789,0.00134173167605007,0.03775054007404919
Acropora_002612,5.157036694594337,K24746,WD repeat-containing protein,41.08991970618146,5.157036694594337,4.107439195998141,4.345509061260368e-6,2.972926542725382e-4
